<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220909,060000,143.6510000,143.7400000,143.4900000,143.7090000,134136
20220909,070000,143.7040000,143.7210000,143.0300000,143.1540000,176627
20220909,080000,143.1420000,143.2200000,142.4300000,142.8280000,211852
20220909,090000,142.8210000,142.9710000,142.6900000,142.9570000,141514
20220909,100000,142.9520000,143.1480000,142.6400000,142.6640000,177642
20220909,110000,142.6740000,142.7070000,142.1200000,142.3510000,227655
20220909,120000,142.3550000,142.4590000,141.8600000,141.9490000,181258
20220909,130000,141.9490000,142.2950000,141.9100000,142.0030000,138175
20220909,140000,142.0030000,142.0080000,141.4800000,141.6780000,189721
20220909,150000,141.6750000,142.6330000,141.6400000,142.5350000,186227
20220909,160000,142.5410000,142.8250000,142.1750000,142.3460000,226265
20220909,170000,142.3510000,142.7410000,142.1300000,142.5580000,281390
20220909,180000,142.5600000,142.6270000,142.2700000,142.4300000,225296
20220909,190000,142.4240000,142.5870000,142.3800000,142.4470000,146487
20220909,200000,142.4430000,142.7100000,142.4000000,142.5480000,109724
20220909,210000,142.5430000,142.6960000,142.5000000,142.6930000,79506
20220909,220000,142.6920000,142.7710000,142.6200000,142.6980000,77092
20220909,230000,142.6950000,142.7280000,142.5500000,142.6920000,68955
20220910,000000,142.6840000,142.7180000,142.4000000,142.5640000,32503
20220911,230000,142.5700000,142.5700000,142.4100000,142.4100000,12
20220912,000000,142.0070000,142.3000000,142.0070000,142.1300000,33
20220912,010000,142.1100000,142.4820000,142.0730000,142.3900000,6430
20220912,020000,142.4080000,142.6610000,142.3400000,142.6540000,53912
20220912,030000,142.6540000,142.7560000,142.4980000,142.5570000,52618
20220912,040000,142.5640000,142.9590000,142.4800000,142.8050000,128120
20220912,050000,142.7980000,142.8170000,142.3000000,142.5250000,119042
20220912,060000,142.5240000,142.8790000,142.5000000,142.8210000,97638
20220912,070000,142.8280000,143.0430000,142.6900000,142.9500000,99059
20220912,080000,142.9480000,143.2460000,142.8700000,143.1740000,108168
20220912,090000,143.1670000,143.3180000,142.9600000,143.2280000,110007
20220912,100000,143.2330000,143.4950000,142.9400000,142.9930000,159751
20220912,110000,142.9890000,143.0530000,142.6000000,142.7680000,218542
20220912,120000,142.7680000,142.9630000,142.5800000,142.6790000,170822
20220912,130000,142.6880000,142.7910000,142.4900000,142.7180000,146909
20220912,140000,142.7260000,142.8710000,142.5500000,142.5980000,119032
20220912,150000,142.6060000,142.7510000,142.3900000,142.5510000,128090
20220912,160000,142.5490000,142.6690000,142.2000000,142.5240000,190224
20220912,170000,142.5260000,142.8770000,142.4500000,142.5960000,185622
20220912,180000,142.5950000,142.7440000,142.3400000,142.3970000,161893
20220912,190000,142.3920000,142.4590000,142.2800000,142.4460000,124272
20220912,200000,142.4390000,142.4630000,142.1300000,142.2130000,95493
20220912,210000,142.2030000,142.4420000,142.1800000,142.4110000,100455
20220912,220000,142.4100000,142.8040000,142.3900000,142.7230000,92739
20220912,230000,142.7250000,142.8430000,142.6900000,142.8210000,62032
20220913,000000,142.8210000,142.8530000,142.7300000,142.8270000,36105
20220913,010000,142.8280000,142.8500000,142.7590000,142.8080000,38584
20220913,020000,142.8090000,142.8090000,142.5100000,142.7230000,63343
20220913,030000,142.7290000,142.7820000,142.5500000,142.5800000,60208
20220913,040000,142.5770000,142.7400000,142.4000000,142.4410000,150710
20220913,050000,142.4530000,142.7270000,142.3100000,142.3550000,155644
20220913,060000,142.3550000,142.5870000,142.2900000,142.5750000,127643
20220913,070000,142.5750000,142.5930000,142.3600000,142.4940000,110537
20220913,080000,142.4970000,142.5980000,142.4300000,142.5660000,74698
20220913,090000,142.5660000,142.5800000,142.3100000,142.3860000,99312
20220913,100000,142.3890000,142.4400000,142.0200000,142.3480000,169937
20220913,110000,142.3480000,142.4820000,142.1800000,142.2470000,184291
20220913,120000,142.2510000,142.4130000,142.1900000,142.2520000,139855
20220913,130000,142.2420000,142.3290000,142.1400000,142.2220000,125296
20220913,140000,142.2120000,142.2630000,142.0000000,142.0810000,109841
20220913,150000,142.0810000,142.0910000,141.8500000,142.0340000,148251
20220913,160000,142.0370000,144.4490000,141.5950000,144.4030000,384212
20220913,170000,144.4030000,144.6860000,143.7700000,144.1100000,411293
20220913,180000,144.1030000,144.2550000,143.8500000,144.2250000,288754
20220913,190000,144.2200000,144.3410000,144.1300000,144.3130000,207450
20220913,200000,144.3170000,144.4900000,144.2500000,144.2960000,171297
20220913,210000,144.3030000,144.4720000,144.1000000,144.4260000,157297
20220913,220000,144.4260000,144.4940000,144.2500000,144.4050000,132730
20220913,230000,144.4020000,144.5100000,144.3100000,144.4710000,87307
20220914,000000,144.4650000,144.5930000,144.4400000,144.5540000,45077
20220914,010000,144.5460000,144.7100000,144.5050000,144.6490000,13440
20220914,020000,144.6830000,144.9650000,144.6460000,144.8640000,77077
20220914,030000,144.8740000,144.9360000,144.2900000,144.4460000,126042
20220914,040000,144.4530000,144.6700000,144.0570000,144.4110000,178740
20220914,050000,144.4150000,144.8530000,144.3700000,144.5210000,153043
20220914,060000,144.5240000,144.5470000,144.3100000,144.3740000,107483
20220914,070000,144.3760000,144.5700000,144.1900000,144.4110000,96767
20220914,080000,144.4030000,144.4450000,143.6450000,143.8650000,166708
20220914,090000,143.8660000,143.9150000,143.5100000,143.8310000,149242
20220914,100000,143.8350000,143.8610000,143.5000000,143.6170000,180409
20220914,110000,143.6150000,143.6370000,143.2400000,143.3140000,256734
20220914,120000,143.3100000,143.4490000,142.8700000,143.3300000,240516
20220914,130000,143.3330000,143.7260000,143.0000000,143.0890000,212478
20220914,140000,143.0950000,143.2700000,142.8700000,143.2650000,165996
20220914,150000,143.2570000,143.4800000,143.1400000,143.3810000,169250
20220914,160000,143.3810000,143.5200000,142.8000000,143.0210000,253835
20220914,170000,143.0200000,143.0950000,142.5700000,142.8830000,256756
20220914,180000,142.8920000,142.9600000,142.5300000,142.6280000,211559
20220914,190000,142.6340000,142.9470000,142.5200000,142.9270000,148790
20220914,200000,142.9270000,142.9470000,142.8000000,142.9220000,81300
20220914,210000,142.9310000,143.1710000,142.8900000,143.1340000,83245
20220914,220000,143.1360000,143.1680000,143.0200000,143.1190000,81366
20220914,230000,143.1250000,143.2230000,143.0900000,143.1900000,67334
20220915,000000,143.1800000,143.2160000,143.1110000,143.1340000,36332
20220915,010000,143.0880000,143.1700000,142.9000000,143.1170000,10883
20220915,020000,143.1210000,143.1440000,142.8830000,143.0400000,90156
20220915,030000,143.0470000,143.0870000,142.7700000,142.9190000,62846
20220915,040000,142.9170000,143.2750000,142.8800000,143.1370000,128212
20220915,050000,143.1270000,143.1920000,142.8900000,142.9720000,141567
20220915,060000,142.9610000,143.4380000,142.9400000,143.2980000,134274
20220915,070000,143.2970000,143.4930000,143.2800000,143.4040000,110644
20220915,080000,143.4140000,143.5740000,143.2700000,143.4920000,88171
20220915,090000,143.4910000,143.7000000,143.4600000,143.5850000,94239
20220915,100000,143.5850000,143.7710000,143.5100000,143.6740000,143750
20220915,110000,143.6740000,143.8020000,143.4700000,143.5560000,170615
